gene	disease_1	disease_2	disease_3	disease_4	disease_5	disease_6	disease_7	disease_8	disease_9	disease_10	disease_11	disease_12	disease_13	disease_14	disease_15
100240702	MIM611637														
100240730	MIM609757														
100240731	MIM611102														
100240732	MIM612380														
100240733	MIM612381														
100240736	MIM606528														
100240737	MIM607872														
100240738	MIM608363														
100240739	MIM609334														
100240740	MIM612513														
100240747	MIM146390														
100240748	MIM158170														
10025	MIM604062														
10026	MIM605087														
100270639	MIM612525														
100270641	MIM612554														
100270642	MIM612557														
100270643	MIM612558														
100270644	MIM612559														
100270794	MIM612221														
100270795	MIM612223														
100270796	MIM612226														
100270797	MIM612228														
100270798	MIM612566														
100270799	MIM612567														
100270800	MIM612576														
100270801	MIM612578														
100270802	MIM612579														
100270803	MIM612582														
100271686	MIM300578														
100271687	MIM612571														
100271688	MIM612586														
100271689	MIM612587														
100271690	MIM612589														
100271691	MIM612591														
100271692	MIM612592														
100271693	MIM612593														
100271694	MIM612594														
100271695	MIM612595														
100271696	MIM612596														
100271697	MIM612622														
100271698	MIM612629														
100271718	MIM300756														
100271719	MIM612599														
100271837	MIM612632														
100271838	MIM612639														
100271849	MIM600661														
100271867	MIM612573														
100271868	MIM612574														
100271869	MIM612575														
100271873	MIM604893														
100271921	MIM612626														
100271922	MIM612627														
100271923	MIM612637														
100271924	MIM612642														
100272224	MIM612670														
100272225	MIM612671														
100286836	MIM612401														
100287084	MIM194546														
100287171	MIM613632														
100287932	MIM605034														
100288805	MIM610813														
100294715	MIM612691														
100294716	MIM612717														
100294717	MIM612727														
100294718	MIM612728														
100294719	MIM612729														
1003	MIM601120														
100301522	MIM612005														
100301523	MIM612224														
100301525	MIM612715														
100301526	MIM612737														
100301527	MIM612759														
100301572	MIM261800														
100302058	MIM300660														
100302059	MIM612796														
100302138	MIM614155														
100302172	MIM614488														
100302292	MIM612970														
100302509	MIM300778														
100302510	MIM300779														
100302511	MIM610247														
100302512	MIM611185														
100302513	MIM612789														
100302514	MIM612851														
100302515	MIM612858														
100302516	MIM612862														
100302517	MIM612884														
100302518	MIM612885														
100302519	MIM612886														
100302559	MIM612795														
100302560	MIM612841														
100302561	MIM612853														
100302562	MIM612882														
100302563	MIM612883														
100302591	MIM610808														
100302680	MIM300475														
100302681	MIM608098														
100302682	MIM612881														
100302683	MIM612892														
100302684	MIM612893														
100302685	MIM612894														
100302686	MIM612929														
100302716	MIM135400														
100302718	MIM612957														
100302719	MIM612967														
100302720	MIM612968														
100302721	MIM612976														
100303715	MIM613006														
100303716	MIM613007														
100303717	MIM613008														
100303755	MIM614771														
100306937	MIM613015														
100306938	MIM613016														
100306939	MIM613017														
100306940	MIM613024														
100306978	MIM613026														
100306979	MIM613055														
100307118	MIM605462														
100307119	MIM613058														
100307120	MIM613059														
100307121	MIM613061														
100307122	MIM613062														
100307123	MIM613063														
100310754	MIM300801														
100310755	MIM613064														
100310785	MIM613065														
100310786	MIM613067														
100312950	MIM117210														
100312951	MIM161550														
100312952	MIM176780														
100312954	MIM275000														
100312955	MIM613088														
100313948	MIM613106														
100316847	MIM613033														
100316868	MIM614060														
100322878	MIM613145														
100322879	MIM613162														
100329167	MIM100070														
100329168	MIM606460														
100329169	MIM612590														
100329170	MIM613025														
100359393	MIM613371														
100359399	MIM613392														
100359400	MIM613685														
100359401	MIM608367														
100359402	MIM613364														
100359403	MIM613164														
100359406	MIM255500														
100359407	MIM610320														
10036	MIM601246														
100379198	MIM117100														
100379199	MIM139450														
100379200	MIM300809														
100379201	MIM611390														
100379202	MIM613174														
100379203	MIM613215														
100379215	MIM610141														
100379216	MIM613219														
100379217	MIM613233														
100379218	MIM613238														
100379571	MIM614263														
10038	MIM607725														
100380873	MIM613267														
100380874	MIM613269														
100380875	MIM613271														
100380876	MIM613282														
100381204	MIM609319														
100381205	MIM609320														
100381206	MIM613284														
100381207	MIM613290														
100381210	MIM114200														
100381211	MIM602483														
100381270	MIM613512														
10039	MIM607726														
1004	MIM603007														
10040	MIM604701														
100415893	MIM300815														
100415894	MIM613030														
100415895	MIM613031														
100415896	MIM613207														
100415903	MIM613339														
100415904	MIM613340														
100415941	MIM613355														
100415942	MIM606407														
100415943	MIM609670														
10042	MIM604702														
100422882	MIM614722														
100422910	MIM613405	MIM613418													
10043	MIM604700														
10044	MIM604722														
10045	MIM604721														
10046	MIM300120	MIM300758													
100462676	MIM613328														
100462721	MIM603783														
100462722	MIM610294														
100462723	MIM610295														
100462724	MIM610361														
100462725	MIM613387														
10047	MIM608683														
10048	MIM603854														
10049	MIM603511	MIM611332													
100499165	MIM612108														
100499166	MIM613407														
100499167	MIM613412														
100499168	MIM613460														
100499169	MIM613462														
