gene	disease_1	disease_2	disease_3	disease_4	disease_5	disease_6	disease_7	disease_8	disease_9	disease_10	disease_11	disease_12	disease_13	disease_14	disease_15
113622	MIM610620														
1137	MIM118504	MIM188890	MIM600513												
113746	MIM608356														
1138	MIM118505	MIM612052													
113802	MIM612178														
113835	MIM606957														
113877	MIM608653														
113878	MIM613141														
1139	MIM118511														
114	MIM103070														
1140	MIM100710	MIM601462	MIM608931												
114034	MIM613931														
114086	MIM606129														
114088	MIM606555														
1141	MIM118507	MIM605375													
114112	MIM606235														
114131	MIM605901														
114132	MIM607157														
114134	MIM611036														
1142	MIM118508														
114293	MIM606179														
114294	MIM608440														
1143	MIM118509														
114327	MIM254770	MIM607631	MIM608815												
114335	MIM608823														
114336	MIM608824														
1144	MIM100720	MIM253290	MIM601462	MIM608930											
114475	MIM606187														
114477	MIM605845														
1145	MIM100725	MIM601462	MIM608930	MIM608931											
114548	MIM120100	MIM191900	MIM606416	MIM607115											
114568	MIM606240														
114569	MIM609684														
114571	MIM607579														
1146	MIM100730	MIM253290	MIM265000												
114609	MIM606252	MIM607948	MIM610799	MIM611162	MIM614382										
114610	MIM108600														
114625	MIM111620	MIM111750	MIM609017												
1147	MIM600664	MIM613630													
114757	MIM608759														
114758	MIM400034														
114760	MIM400036														
114761	MIM400037														
114770	MIM608199														
114771	MIM608197														
114780	MIM607894														
114781	MIM611237														
114784	MIM608398														
114787	MIM611239														
114788	MIM608399														
114789	MIM608745														
114790	MIM607172														
114791	MIM608147														
114798	MIM137580	MIM609678	MIM613229												
114799	MIM609674														
114803	MIM612176														
114805	MIM608369														
114814	MIM612875														
114815	MIM606283														
114822	MIM601031														
114836	MIM606446														
114876	MIM606730														
114879	MIM606733														
114880	MIM606734														
114881	MIM606735														
114882	MIM606736														
114883	MIM606737														
114884	MIM606738														
114885	MIM606739														
114890	MIM300360														
114897	MIM610365														
114899	MIM612045														
1149	MIM604440														
114900	MIM614911														
114902	MIM605670	MIM608752													
114904	MIM614910														
114907	MIM606604														
114908	MIM606356														
114971	MIM609538														
114990	MIM608843														
115	MIM603302														
115004	MIM613973														
115019	MIM608481														
115106	MIM608775														
115111	MIM608479														
115123	MIM613333														
1152	MIM123280														
115201	MIM300663														
115207	MIM610521														
115265	MIM607730														
115286	MIM611037														
115290	MIM609094														
1153	MIM602649														
115350	MIM606508														
115352	MIM606510														
115361	MIM612466														
115362	MIM611467														
1154	MIM602441	MIM607948	MIM611162	MIM614383											
115416	MIM614624														
1155	MIM601303														
115548	MIM613438														
115557	MIM610215														
115584	MIM610238														
1156	MIM123270														
115650	MIM240500	MIM606269	MIM613494												
115653	MIM610095														
115677	MIM607496														
115703	MIM614902														
115727	MIM607320														
115752	MIM614183														
115761	MIM609351														
1158	MIM123310														
115817	MIM610410														
115825	MIM610418														
115827	MIM612829														
115861	MIM608791														
1159	MIM123290														
115908	MIM610635	MIM614266													
115950	MIM611371														
116	MIM102980														
1160	MIM123295														
116028	MIM612426														
116039	MIM611297														
116085	MIM220150	MIM607096													
116092	MIM611388														
116093	MIM606423														
1161	MIM216400	MIM609412	MIM614621												
116113	MIM608924														
116115	MIM614387														
116138	MIM611248														
116143	MIM610729														
116150	MIM610463														
116154	MIM608725														
116173	MIM607888														
116179	MIM606776														
116225	MIM611424														
116228	MIM614698														
116255	MIM610268														
116285	MIM614357														
1163	MIM116900														
116337	MIM608422														
116362	MIM608604														
116369	MIM608480														
116372	MIM610450														
116379	MIM606648														
1164	MIM116901														
116442	MIM300271	MIM300774													
116443	MIM606650														
116444	MIM606651														
116447	MIM606387														
116448	MIM606385														
116449	MIM611434														
116461	MIM608756														
1165	MIM213200														
116511	MIM607235														
116512	MIM607231														
116519	MIM144650	MIM145750	MIM606368												
116534	MIM607232														
116535	MIM607233														
116540	MIM611857														
116541	MIM611858														
1166	MIM302500														
116629	MIM606325														
1167	MIM608029														
116832	MIM607547														
116833	MIM105800														
116835	MIM610702														
116840	MIM611425														
116842	MIM611373														
116843	MIM613361														
116844	MIM611289														
116931	MIM611318														
116936	MIM611069														
116937	MIM611070														
116938	MIM611071														
116966	MIM609005														
116969	MIM610625														
116984	MIM606645														
116985	MIM606646														
116986	MIM605476														
116987	MIM608651														
117	MIM102981														
117084	MIM114580														
117143	MIM612763														
117144	MIM606389	MIM612997													
117145	MIM606388														
117153	MIM608001														
117154	MIM300608														
117155	MIM607249	MIM611102	MIM612997												
117156	MIM600807	MIM606531													
117157	MIM608510														
117159	MIM606634														
117166	MIM608021														
117177	MIM608686														
117178	MIM608690														
117187	MIM605804														
117188	MIM605844														
117189	MIM300351														
117190	MIM605934														
117191	MIM603918														
117192	MIM606190														
117193	MIM275220														
117194	MIM607228														
117195	MIM607229														
117196	MIM607230														
117237	MIM300179														
117245	MIM611474														
117247	MIM607550														
117283	MIM606993														
117285	MIM607650														
117286	MIM610645														
117289	MIM609667														
1173	MIM601024														
1174	MIM603531														
1175	MIM602242														
117531	MIM600974	MIM606705	MIM606706												
117532	MIM606707														
117579	MIM606855														
117581	MIM227260	MIM607556													
117584	MIM609735														
1176	MIM601507														
1178	MIM153310														
117854	MIM607564														
1179	MIM603906														
118	MIM102680	MIM145500													
1180	MIM118425	MIM160800	MIM255700												
1181	MIM600570	MIM607628													
1182	MIM600580														
1183	MIM302910														
1184	MIM300008	MIM300009	MIM300554	MIM308990	MIM310468										
118425	MIM609717														
118427	MIM607567														
118429	MIM228600	MIM236490	MIM608041												
118430	MIM610857														
118442	MIM606917														
118460	MIM606490														
118471	MIM609776														
118487	MIM608842														
118490	MIM614773														
1185	MIM602726														
1186	MIM166600	MIM602727	MIM611490												
118672	MIM611310														
1187	MIM602024	MIM613090													
118788	MIM607942														
1188	MIM602023	MIM602522	MIM607364	MIM613090											
118813	MIM610243	MIM610244													
118856	MIM608416														
118924	MIM608866														
118987	MIM614235														
119	MIM102681														
1191	MIM185430														
119180	MIM612748														
1192	MIM602872														
1193	MIM300138														
119391	MIM612314														
1195	MIM601951														
119504	MIM613427														
1196	MIM602989														
119749	MIM614273														
1198	MIM602990														
12	MIM107280														
120	MIM601568														
1200	MIM204500	MIM214200	MIM607998												
120071	MIM609709														
1201	MIM204200	MIM214200	MIM607042												
120103	MIM613760														
120114	MIM612483														
120227	MIM600081	MIM608713													
1203	MIM214200	MIM256731	MIM608102												
120425	MIM609770														
120526	MIM611072														
120534	MIM612295														
1207	MIM602158														
120776	MIM608494														
1208	MIM120105														
120892	MIM607060	MIM609007													
1209	MIM604783														
1211	MIM118960														
1212	MIM118970														
121214	MIM609769														
121227	MIM608870														
121256	MIM611257														
121274	MIM613906														
121278	MIM607478	MIM608516	MIM613003												
1213	MIM118955														
121340	MIM606633	MIM613849													
121391	MIM194300	MIM608248	MIM613981												
121441	MIM600372														
121457	MIM609861														
1215	MIM118938														
121506	MIM610642														
121512	MIM609311	MIM611104													
121549	MIM609155														
121599	MIM612568														
121601	MIM610111														
121642	MIM610602														
121643	MIM609429														
121665	MIM608240														
121775	MIM215400														
1218	MIM600884														
1219	MIM601493														
122	MIM300700														
122042	MIM219050	MIM606655													
122060	MIM610491														
1222	MIM602067														
122509	MIM611320														
122553	MIM610397														
122622	MIM612498														
122665	MIM612485														
122704	MIM611856														
122706	MIM611137														
122769	MIM609193														
122773	MIM611281														
122786	MIM614555														
122876	MIM609652														
122953	MIM608657														
122970	MIM614314														
123	MIM103195														
1230	MIM601159														
123016	MIM209900	MIM608132	MIM613464												
123041	MIM210750	MIM609840													
123099	MIM610862														
123169	MIM610507														
1232	MIM601268														
123228	MIM608659														
123263	MIM611766														
123264	MIM612085														
1233	MIM604836														
1234	MIM601373	MIM609423	MIM609532	MIM610379	MIM612522										
1235	MIM601835														
1236	MIM600242														
123606	MIM600363	MIM608145													
123688	MIM614681														
1237	MIM601834														
123720	MIM612393														
1238	MIM602648														
123872	MIM613190	MIM613193													
123876	MIM614358														
123920	MIM607886														
124	MIM103700														
1240	MIM602351														
124056	MIM611256														
124093	MIM614666	MIM614807													
1241	MIM601531														
124222	MIM614578														
1243	MIM155600														
1244	MIM237500	MIM601107													
124404	MIM611562	MIM614822													
124454	MIM612799														
124460	MIM613281														
124540	MIM607897														
124583	MIM251450	MIM613165													
124590	MIM606943	MIM607696													
124599	MIM610705														
124626	MIM608499														
124641	MIM607896														
124801	MIM611793														
124857	MIM610895														
124872	MIM111730														
124912	MIM612749														
124935	MIM610791														
124961	MIM194480														
124975	MIM612341														
124976	MIM612584														
124995	MIM611825														
124997	MIM610185	MIM614218													
125	MIM103720	MIM103780													
125050	MIM606515														
125111	MIM607425														
125150	MIM614535														
1253	MIM302801														
125336	MIM613072	MIM613079													
1254	MIM302802														
1255	MIM121400														
1257	MIM605244														
125704	MIM614544														
1258	MIM600724	MIM613767													
1259	MIM123825	MIM268000	MIM613756												
125950	MIM609950														
125958	MIM611538														
125972	MIM611414	MIM613875													
125981	MIM613491														
125997	MIM607964														
126	MIM103730	MIM103780	MIM168600												
1260	MIM300338														
126014	MIM606862														
126074	MIM614536														
1261	MIM216900	MIM600053													
126129	MIM608846														
126133	MIM613358														
1262	MIM609472														
126204	MIM609660														
126205	MIM609659														
126206	MIM609658														
126259	MIM614715														
1263	MIM602913														
126306	MIM608743														
126326	MIM601869	MIM608792													
126328	MIM252010	MIM612638													
126364	MIM607518														
126374	MIM614790														
126382	MIM608719														
126393	MIM610695														
1264	MIM600806														
126410	MIM604777	MIM611495													
126433	MIM609099														
1265	MIM602373														
126567	MIM610336														
1266	MIM602374														
126638	MIM613259														
126669	MIM610482														
1267	MIM123830														
1268	MIM114610														
1269	MIM605051														
126961	MIM142780														
127	MIM103740														
1270	MIM118945														
1271	MIM118946														
1272	MIM600016	MIM612540													
127253	MIM611245														
127262	MIM611460														
127343	MIM607410														
127435	MIM608661														
1275	MIM300085														
127534	MIM133200	MIM605425													
127544	MIM610872														
127602	MIM603341														
1277	MIM114000	MIM120150	MIM130000	MIM130060	MIM166200	MIM166210	MIM166220	MIM166710	MIM259420						
127700	MIM608854														
1278	MIM120160	MIM130060	MIM166210	MIM166220	MIM166710	MIM225320	MIM259420								
127833	MIM600104														
1279	MIM120340														
127933	MIM608849														
127943	MIM609251														
128	MIM103710														
1280	MIM108300	MIM120140	MIM132450	MIM150600	MIM151210	MIM156550	MIM183900	MIM184250	MIM200610	MIM215150	MIM271700	MIM604864	MIM608805	MIM609162	MIM609508
1281	MIM120180	MIM130020	MIM130050												
128153	MIM611032														
128178	MIM129490	MIM224900	MIM606603												
1282	MIM120130	MIM175780	MIM607595	MIM611773											
128209	MIM609602														
128240	MIM608862														
128272	MIM612496														
1283	MIM300216														
128308	MIM611859														
128338	MIM613360														
128344	MIM614234														
1284	MIM120090	MIM614483	MIM614519												
128408	MIM609331														
128414	MIM612873														
128486	MIM612029														
128488	MIM609872														
1285	MIM104200	MIM120070	MIM141200	MIM203780											
128553	MIM614118														
1286	MIM120131	MIM141200	MIM203780												
128637	MIM611663														
128674	MIM244200	MIM607123													
1287	MIM301050	MIM303630													
1288	MIM303631	MIM308940													
128859	MIM614110														
128866	MIM605387	MIM610897													
128869	MIM608528														
1289	MIM120215	MIM130000	MIM130010												
1290	MIM120190	MIM130000	MIM130010												
129049	MIM611417														
129080	MIM608926														
1291	MIM120220	MIM158810	MIM254090	MIM602475											
129138	MIM613383														
1292	MIM120240	MIM158810	MIM254090	MIM255600											
129293	MIM614912														
1293	MIM120250	MIM158810	MIM254090												
1294	MIM120120	MIM131705	MIM131750	MIM131850	MIM132000	MIM226600	MIM604129	MIM607523							
129401	MIM608140														
129446	MIM609778														
1295	MIM120251														
129563	MIM267000	MIM614184													
1296	MIM120252	MIM136800	MIM609140												
129607	MIM611787														
129642	MIM611949														
129684	MIM610519														
129685	MIM609514														
1297	MIM120210	MIM614134	MIM614135												
129787	MIM613220														
129790	MIM610242														
1298	MIM120260	MIM600204	MIM603932	MIM614284											
129804	MIM611551														
129807	MIM608527														
129831	MIM608888														
129880	MIM209900	MIM603650													
1299	MIM120270	MIM600969	MIM603932												
13	MIM600338														
130	MIM103735														
1300	MIM120110	MIM156500													
130013	MIM608889														
1301	MIM120280	MIM154780	MIM228520	MIM603932	MIM604841										
130106	MIM610646														
130120	MIM609933														
1302	MIM120290	MIM184840	MIM215150	MIM277610	MIM601868	MIM609706	MIM614524								
130271	MIM612723														
1303	MIM120320														
130367	MIM612827														
130399	MIM608981														
130497	MIM608891														
1305	MIM120350														
130507	MIM613831														
130557	MIM613598	MIM613617													
130574	MIM613359														
130589	MIM608883														
1306	MIM120325														
130617	MIM613474														
1307	MIM120326														
130749	MIM609563														
1308	MIM113811	MIM226650													
130888	MIM609105														
131	MIM600086														
1310	MIM120165														
131034	MIM604208														
131096	MIM608260														
1311	MIM132400	MIM177170	MIM600310												
131118	MIM608977	MIM610198													
131177	MIM608619														
1312	MIM116790	MIM167870	MIM181500												
131375	MIM612750														
1314	MIM601924														
131450	MIM607546														
131474	MIM611077														
1315	MIM600959														
131566	MIM608698														
1316	MIM137215	MIM176807	MIM602053												
131601	MIM608336														
131669	MIM276880	MIM613012													
1317	MIM603085														
1318	MIM603088														
131890	MIM606987														
1319	MIM600624														
131920	MIM614786														
132	MIM102750	MIM614300													
132112	MIM609137														
132158	MIM220120	MIM610516													
132160	MIM608979														
132320	MIM611399														
1325	MIM602784														
132556	MIM603739														
1326	MIM191195	MIM211980													
132612	MIM614130														
132625	MIM614572														
132660	MIM613367														
132671	MIM612814														
1327	MIM123864														
132789	MIM613222														
132851	MIM609879														
132864	MIM610605														
132884	MIM225500	MIM607261													
1329	MIM123866														
132946	MIM612405														
132949	MIM614365														
132954	MIM611676														
133	MIM103275														
133060	MIM607806														
133308	MIM611789														
133396	MIM609510	MIM613955													
133482	MIM613365														
133522	MIM601665	MIM608886													
1337	MIM602072														
133746	MIM604279														
1339	MIM602009														
134	MIM102775														
1340	MIM124089	MIM220110													
134147	MIM613379														
134265	MIM614410														
134288	MIM614909														
134429	MIM607049														
134430	MIM609669	MIM609887													
1345	MIM124090														
134510	MIM609867														
134526	MIM614315														
134549	MIM611179														
1346	MIM123995														
1347	MIM123996														
134701	MIM609891														
1348	MIM123997														
134860	MIM608282														
134864	MIM609333														
1349	MIM300885														
134957	MIM604586														
135	MIM102776														
1350	MIM603774														
1351	MIM123870														
135112	MIM609752														
135114	MIM609998														
135138	MIM608427														
135152	MIM607497														
1352	MIM602125														
135228	MIM608859														
135250	MIM609243														
1353	MIM603648														
135458	MIM609713														
1355	MIM256000	MIM603646													
1356	MIM117700	MIM604290													
135656	MIM613928														
1357	MIM114850														
1358	MIM600688														
135886	MIM612547														
135892	MIM612548														
1359	MIM114851														
135935	MIM610934	MIM611548													
136	MIM600446														
1360	MIM114852														
1361	MIM603101														
1362	MIM603102														
136227	MIM608927														
136259	MIM609393														
1363	MIM114855														
136306	MIM611700														
136319	MIM606484														
1364	MIM602909														
1365	MIM602910														
1366	MIM609131														
136647	MIM234050	MIM609188													
1368	MIM114860														
136853	MIM607639														
1369	MIM212070	MIM603103													
136991	MIM605797														
1370	MIM603104														
137075	MIM609203														
1371	MIM121300	MIM612732													
137196	MIM613040														
1373	MIM237300	MIM265380	MIM608307												
1374	MIM255120	MIM600528													
137492	MIM609927														
1375	MIM601987														
1376	MIM255110	MIM600649	MIM600650	MIM608836	MIM614212										
137682	MIM256000	MIM612392													
137735	MIM609747														
1378	MIM120620	MIM607486	MIM611162												
137814	MIM217095	MIM611770													
137868	MIM608113														
137872	MIM611083														
137886	MIM610686														
1379	MIM605886														
137964	MIM608143														
1380	MIM120650	MIM240500	MIM610927	MIM614699											
138046	MIM614648														
138050	MIM252930	MIM610453													
1381	MIM180230														
138162	MIM614502														
1382	MIM180231														
138307	MIM612902														
138311	MIM614543														
1384	MIM600184														
138429	MIM612865														
138474	MIM607798														
1385	MIM123810	MIM612160													
1386	MIM123811														
1387	MIM180849	MIM600140													
1388	MIM600984														
1389	MIM603476														
1390	MIM123812														
139065	MIM300562														
139067	MIM300666														
139081	MIM300469														
139189	MIM300837														
1392	MIM122560														
139285	MIM300373	MIM300647													
1393	MIM122559														
139341	MIM300871														
1394	MIM122561														
139411	MIM300828														
139422	MIM300761														
1395	MIM602034														
139562	MIM300714														
139596	MIM300656														
139599	MIM300760														
1396	MIM123875														
139604	MIM300762														
1397	MIM601183														
139716	MIM300482														
139728	MIM300680														
139741	MIM300487														
139760	MIM300513														
139793	MIM300739														
1398	MIM164762														
139818	MIM300681														
1399	MIM602007														
14	MIM603488														
140	MIM600445														
1400	MIM602462														
140032	MIM400030	MIM415000													
1401	MIM123260														
140258	MIM608718														
140290	MIM608365														
1403	MIM123100														
1404	MIM115435														
140451	MIM612876														
140452	MIM607346														
140453	MIM608424														
140454	MIM610707														
140456	MIM300626														
140465	MIM609930														
140469	MIM610040														
140545	MIM610241														
140560	MIM606545														
140564	MIM609900														
140578	MIM607247														
1406	MIM120970	MIM268000	MIM602225	MIM613829											
140606	MIM610918														
140609	MIM606848														
140625	MIM608535														
140628	MIM611496														
140685	MIM614639														
140690	MIM607022														
1407	MIM601933														
140730	MIM611601														
140732	MIM613942														
140733	MIM611567														
140735	MIM608942														
140766	MIM607506														
1408	MIM603732														
140802	MIM152430														
140803	MIM602014	MIM607009													
140805	MIM140300														
140807	MIM608246														
140821	MIM180860														
140825	MIM608597														
140838	MIM610763														
140880	MIM609731														
140885	MIM602461														
140886	MIM300407														
140890	MIM609268														
140892	MIM188025														
1409	MIM123580														
140901	MIM609370														
140906	MIM611225														
140907	MIM607152														
140947	MIM609710														
141	MIM603081														
1410	MIM123590	MIM608810	MIM613763	MIM613869											
1411	MIM123610	MIM600881													
1412	MIM600836														
1413	MIM123631	MIM610425	MIM610426												
1414	MIM600929	MIM611544													
1415	MIM123620	MIM601547	MIM604307	MIM607133											
1417	MIM123630	MIM609741													
1418	MIM123660														
1419	MIM123670														
142	MIM173870														
1420	MIM123680	MIM604307													
1421	MIM115700	MIM123690	MIM601286	MIM608983											
142678	MIM611141														
142679	MIM611437														
142680	MIM241530	MIM609826													
142683	MIM609874														
1427	MIM123730														
1428	MIM123740														
142891	MIM611575														
1429	MIM123691														
142910	MIM613921														
142940	MIM610726														
143	MIM607519														
143098	MIM610973														
1431	MIM118950														
143162	MIM613323														
143187	MIM614316														
1432	MIM600289														
1433	MIM601042														
1434	MIM601342														
143425	MIM613528														
1435	MIM120420														
143503	MIM611267														
143570	MIM609788														
1436	MIM164770	MIM221820													
143662	MIM608566														
143686	MIM607768														
143689	MIM610315														
1437	MIM138960														
1438	MIM300770	MIM306250	MIM425000												
1439	MIM138981	MIM614370													
1440	MIM138970														
1441	MIM138971	MIM162830													
144100	MIM612686														
144124	MIM608493														
144165	MIM608500	MIM612437													
144195	MIM611039														
1442	MIM150200														
1443	MIM118820														
144321	MIM610394														
1444	MIM603515														
144453	MIM607337														
144455	MIM612046														
1445	MIM124095														
144501	MIM611161														
144568	MIM610627														
1446	MIM115450														
144699	MIM609081														
1447	MIM115460														
144715	MIM608368														
144717	MIM614239														
1448	MIM601695														
144811	MIM613409														
145173	MIM261540	MIM610308													
1452	MIM600505														
145226	MIM608830	MIM612712													
145258	MIM138890														
145270	MIM613851														
145282	MIM135750	MIM606850													
1453	MIM600864														
1454	MIM600863														
145482	MIM608642														
1455	MIM602214														
145501	MIM612684														
145581	MIM612811														
1456	MIM604253														
145624	MIM176270	MIM600161													
1457	MIM115440														
145741	MIM610343														
145873	MIM277300	MIM605195	MIM608681												
1459	MIM115442														
145946	MIM613948														
145957	MIM610894														
146	MIM104219														
1460	MIM115441														
146057	MIM604432	MIM611695													
146059	MIM224120	MIM607465													
146183	MIM607038	MIM607039													
146198	MIM609451														
1462	MIM118661	MIM143200													
146206	MIM610859														
146223	MIM607887														
146225	MIM607885														
146227	MIM117210	MIM612051													
1463	MIM600826														
146330	MIM609082														
1464	MIM601172														
146433	MIM612081														
146434	MIM614685														
1465	MIM123876														
146547	MIM610560														
1466	MIM601871														
146664	MIM612441														
146722	MIM609807														
146754	MIM603333														
146760	MIM610461														
146771	MIM612756														
1468	MIM606794														
146802	MIM609833														
146845	MIM609804														
146850	MIM611462														
146852	MIM610097														
146862	MIM611220														
146894	MIM610520														
1469	MIM123855														
146909	MIM614570														
146956	MIM610885														
147	MIM104220														
1470	MIM123856														
147040	MIM609848														
1471	MIM105150	MIM604312	MIM611953												
147111	MIM609847														
147138	MIM226400	MIM605829													
147179	MIM609692														
147199	MIM610176														
1472	MIM123857														
1473	MIM123858														
147323	MIM607051														
147372	MIM235510	MIM612753													
147381	MIM600433														
1474	MIM601891														
147409	MIM607892	MIM607903													
147495	MIM605389	MIM607479													
1475	MIM184600	MIM607936													
1476	MIM254800	MIM601145													
147657	MIM613910														
1477	MIM600369														
147700	MIM601334														
147746	MIM611712														
1478	MIM600368														
147841	MIM609394														
1479	MIM600367														
147906	MIM611112														
147912	MIM600963	MIM610896													
147920	MIM610545														
147929	MIM614275														
147945	MIM609645														
147968	MIM608839														
147991	MIM613894														
148	MIM104221														
148022	MIM607601	MIM614850													
148066	MIM612063														
148113	MIM612419														
148170	MIM609171														
148198	MIM603980														
1482	MIM108900	MIM187500	MIM217095	MIM225250	MIM600584	MIM614432	MIM614435								
148229	MIM605866														
148252	MIM607862														
148266	MIM613904														
148281	MIM607718														
1483	MIM115650														
148327	MIM607138														
1484	MIM601202														
1485	MIM300156														
148545	MIM613994														
1486	MIM600873														
1487	MIM602618														
148738	MIM602390	MIM608374													
148753	MIM611727														
148789	MIM610194														
1488	MIM602619														
148867	MIM611149														
1489	MIM600435														
148930	MIM611455														
148979	MIM610378														
1490	MIM121009														
149013	MIM608607														
149018	MIM611042														
149041	MIM609424														
1491	MIM219500	MIM607657													
149233	MIM177900	MIM605606	MIM607562	MIM612261											
1493	MIM123890	MIM140300	MIM601388	MIM609755											
149420	MIM610785														
149428	MIM611275														
149461	MIM248190	MIM610036													
149465	MIM606713	MIM614259													
1495	MIM116805														
1496	MIM114025														
149603	MIM613754														
149628	MIM612677														
149685	MIM611396														
1497	MIM219750	MIM219800	MIM219900	MIM606272											
149708	MIM605161														
149775	MIM603233	MIM610540													
1499	MIM114550	MIM116806	MIM132600	MIM167000											
149998	MIM145750	MIM609252													
15	MIM600950	MIM614163													
150	MIM104210														
1500	MIM601045														
150000	MIM608835														
150084	MIM610638														
150094	MIM605705														
1501	MIM123450	MIM604275													
150159	MIM611527														
150165	MIM611674														
150221	MIM612701														
150274	MIM608142														
150290	MIM611446														
1503	MIM123860														
150353	MIM611336														
150365	MIM608797														
150368	MIM614240														
150372	MIM608740														
150379	MIM611589														
1504	MIM118890														
150465	MIM608291														
150472	MIM611079														
150572	MIM606846														
1506	MIM118888														
150677	MIM607877														
150684	MIM607238														
150709	MIM609803														
150726	MIM609108														
1508	MIM116810														
1509	MIM116840	MIM214200	MIM610127												
150921	MIM609635														
150962	MIM612787														
151	MIM104260														
1510	MIM116890														
151011	MIM611737														
151050	MIM613833														
151056	MIM610179														
1511	MIM116830														
151126	MIM612344														
1512	MIM116820														
151242	MIM613240														
151246	MIM612425														
1513	MIM265800	MIM601105													
151306	MIM610147														
151354	MIM611234														
151393	MIM611872														
1514	MIM116880														
151449	MIM604651														
1515	MIM603308														
151516	MIM611765														
151636	MIM613143														
151648	MIM609168														
151742	MIM611931														
151871	MIM614445														
151887	MIM608298														
151888	MIM607925														
1519	MIM600550														
151987	MIM613822														
152	MIM104250														
1520	MIM116845														
152002	MIM614552														
152006	MIM612488														
152007	MIM607141														
1521	MIM602364														
152137	MIM607453	MIM611051													
152185	MIM613447														
152189	MIM607891														
1522	MIM603169														
152273	MIM614788														
1523	MIM116896														
152330	MIM607280														
1524	MIM601470	MIM607339	MIM609423	MIM613784											
152404	MIM608351														
1525	MIM602621														
152503	MIM608674														
152559	MIM614577														
152586	MIM610310														
1526	MIM120050														
1527	MIM300092														
152789	MIM611195														
1528	MIM250790	MIM613218													
152815	MIM612535														
152816	MIM614829	MIM614832													
152831	MIM611135														
152926	MIM611065														
152992	MIM614309														
153	MIM109630	MIM607276													
153020	MIM614532														
153090	MIM609205														
153201	MIM138500	MIM242600	MIM608331												
153241	MIM613446														
1534	MIM600019														
153443	MIM610479														
1535	MIM233690	MIM608508													
153562	MIM610153	MIM610572													
153571	MIM610522														
153572	MIM606198														
1536	MIM300481	MIM300645	MIM306400												
153642	MIM610011														
1537	MIM123980														
153769	MIM613377														
1538	MIM300768														
1539	MIM604035														
154	MIM109690	MIM600807	MIM601665												
1540	MIM132700	MIM601606	MIM605018	MIM605041											
154064	MIM611047														
154091	MIM610372														
1541	MIM153880														
154141	MIM611732														
154215	MIM609758														
154288	MIM611687	MIM614293													
1543	MIM108330														
1544	MIM124060														
1545	MIM137750	MIM137760	MIM231300	MIM601771	MIM604229										
154664	MIM607807														
154796	MIM300410														
1548	MIM122700	MIM122720	MIM188890	MIM211980											
154807	MIM608838														
154810	MIM614657														
154881	MIM611725	MIM611726													
1549	MIM608054														
155	MIM109691	MIM601665													
155051	MIM609603														
155061	MIM613914														
155066	MIM611019														
1551	MIM605340														
155184	MIM610371														
1553	MIM608055														
155368	MIM612546														
155382	MIM610039														
155465	MIM609482														
1555	MIM123930	MIM614546													
1557	MIM124020	MIM609535													
1558	MIM601129														
1559	MIM122700	MIM601130													
156	MIM109635														
1562	MIM601131														
1565	MIM124030	MIM608902													
157	MIM109636														
1571	MIM124040														
1572	MIM124070														
1573	MIM601258														
157310	MIM612473														
157506	MIM607599														
157570	MIM609353														
157574	MIM608519														
1576	MIM124010														
157638	MIM609483														
157657	MIM268000	MIM614477	MIM614500												
157680	MIM216550	MIM607817													
1577	MIM145500	MIM605325													
157753	MIM613935														
157807	MIM611292														
157848	MIM610772														
1579	MIM601310														
157922	MIM613774														
158	MIM103050	MIM608222													
1580	MIM124075														
158038	MIM609793														
158062	MIM609379														
1581	MIM118455														
158158	MIM611344														
1582	MIM602172														
158219	MIM613574														
1583	MIM118485	MIM613743													
158326	MIM248450	MIM608944	MIM608980	MIM614485											
1584	MIM103900	MIM202010	MIM610613												
158471	MIM610691														
1585	MIM124080	MIM203400	MIM610600												
158584	MIM300654														
158586	MIM300236														
1586	MIM202110	MIM609300													
158798	MIM300462														
1588	MIM107910	MIM139300	MIM613546												
158800	MIM300446														
158809	MIM300467														
158866	MIM300576	MIM300577													
1589	MIM201910	MIM613815													
158983	MIM300507														
159	MIM103060														
1591	MIM126065	MIM143880													
1592	MIM602239														
159296	MIM606727														
1593	MIM213700	MIM606530													
1594	MIM264700	MIM609506													
1595	MIM601637														
159963	MIM612455														
16	MIM601065	MIM613287													
160	MIM601026														
1600	MIM603448														
160065	MIM606861														
1601	MIM601236														
1602	MIM603803														
1603	MIM600243														
160364	MIM612088														
160365	MIM607467														
1604	MIM125240	MIM613793													
160428	MIM613584														
1605	MIM128239	MIM613818													
1606	MIM125855														
160622	MIM612027														
1607	MIM604070														
160728	MIM608044														
160760	MIM609668														
1608	MIM601854														
160851	MIM604071														
160857	MIM613408														
160897	MIM607787														
1609	MIM601207														
161	MIM607242														
1610	MIM124050	MIM181500													
161003	MIM608327														
1611	MIM600954														
161176	MIM610861														
1612	MIM600831														
161247	MIM612028														
161291	MIM611029														
1613	MIM603289														
161357	MIM611128														
161497	MIM603720	MIM606440	MIM611102	MIM612997											
1615	MIM603084														
161582	MIM127700	MIM608706													
1616	MIM603186														
1617	MIM400003	MIM415000													
161725	MIM612024														
161742	MIM609291	MIM611431													
1618	MIM601486														
161882	MIM601950														
162	MIM600157														
1620	MIM602865														
1621	MIM223360	MIM609312													
1622	MIM125950														
162333	MIM613337														
162417	MIM237310	MIM608300													
162514	MIM607066	MIM614594													
162517	MIM609106														
162540	MIM608284														
